Date,Clics,Impressions,CTR,Position
2026-05-04,0,0,,
2026-05-05,21,213,9.86%,2.7
2026-05-06,40,578,6.92%,3.3
2026-05-07,52,590,8.81%,3.5
2026-05-08,75,644,11.65%,2.8
2026-05-09,58,784,7.4%,3.8
2026-05-10,122,982,12.42%,3.8
2026-05-11,79,752,10.51%,4.2
2026-05-12,87,727,11.97%,3.9
2026-05-13,96,957,10.03%,3.7
2026-05-14,137,1190,11.51%,3.7
2026-05-15,121,942,12.85%,3.8
2026-05-16,103,1056,9.75%,3.6
2026-05-17,80,644,12.42%,3.9
